id;clnr;x;y;ip5areproz;ip50proz;custom_forest_type_code;custom_transition_forest_type_code;forest_type_code;transition_forest_type_code;altitudinal_zones_1995_code;altitudinal_zones_2085_less_dry_code;altitudinal_zones_2085_dry_code;forest_ecoregion_code;silver_fir_area_code
28107;2500;2694003;1275002;100,00;84,40;N0007.0001200;;7S;;40;20;20;M;1
28108;2508;2698002;1274997;51,00;50,20;N0007.0010000;;7a;;40;20;20;M;1
28109;2508;2698002;1274997;49,00;49,80;N0007.0010000;N0009.0010000;7a;9a;40;20;20;M;1
28110;2512;2699999;1274997;100,00;100,00;N0007.0010000;N0009.0010000;7a;9a;40;20;20;M;1
28111;2524;2705999;1274999;100,00;100,00;N0009.0010000;;9a;;40;40;20;M;1
28112;2528;2707998;1275002;1,80;26,90;N0007.0010000;;7a;;40;40;20;M;1
28113;2528;2707998;1275002;98,20;73,10;N0007.0001200;N0029.0000000;7S;29;40;40;20;M;1
28114;2532;2710000;1274999;100,00;100,00;N0008.0010000;;8a;;50;40;20;M;1
28115;2548;2717995;1275004;0,50;21,20;N0007.0010000;;7a;;40;40;20;M;1
28116;2548;2717995;1275004;99,50;78,80;N0007.0001200;;7S;;40;40;20;M;1
28117;2560;2724003;1274995;100,00;100,00;N0007.0001200;N0029.0000000;7S;29;40;40;20;M;1
28118;2763;2685001;1274000;100,00;100,00;N0007.0010000;N0006.0000000;7a;6;40;20;20;M;1
28119;2766;2688993;1273997;0,00;26,70;N0035.0000000;;35;;40;20;20;M;1
28120;2766;2688993;1273997;100,00;73,30;N0014.0000000;N0035.0000000;14;35;40;20;20;M;1
28121;2778;2695001;1274001;100,00;100,00;N0007.0010000;N0035.0000000;7a;35;40;20;20;M;1
28122;2786;2698998;1274003;0,00;10,50;N3003.0000000;;u-3;;40;20;20;M;1
28123;2786;2698998;1274003;42,00;16,60;N2007.0000000;N0010.0010000;Prun;10a;40;20;20;M;1
28124;2786;2698998;1274003;58,00;72,80;N0009.0010000;;9a;;40;20;20;M;1
28125;2794;2703002;1274006;100,00;100,00;N0010.0010000;;10a;;40;20;20;M;1
28126;2806;2708998;1274004;100,00;100,00;N0009.0010000;;9a;;40;40;20;M;1
28127;2818;2715002;1274003;0,00;1,90;N3001.0000000;N3002.0000000;u-1;u-2;40;40;20;M;1
28128;2818;2715002;1274003;100,00;98,10;N0010.0140000;N0015.0000000;10w;15;40;40;20;M;1
28129;2826;2719004;1273996;77,30;41,50;N0007.0010000;;7a;;40;40;20;M;1
28130;2826;2719004;1273996;0,00;19,50;N0007.0010000;N0006.0000000;7a;6;40;40;20;M;1
28131;2826;2719004;1273996;22,70;39,00;N3003.0000000;N3001.0000000;u-3;u-1;40;40;20;M;1
28132;3051;2660000;1272996;38,80;33,60;N0009.0010000;N0017.0000000;9a;17;40;20;20;M;1
28133;3051;2660000;1272996;36,20;49,70;N3001.0000000;;u-1;;40;20;20;M;1
28134;3051;2660000;1272996;24,90;16,60;N0009.0010000;;9a;;40;20;20;M;1
28135;3062;2678004;1273002;100,00;98,60;N0010.0140000;;10w;;40;40;20;M;1
28136;3062;2678004;1273002;0,00;1,40;N0007.0010000;;7a;;40;40;20;M;1
28137;3078;2687994;1272997;100,00;100,00;N0007.0010000;N0035.0000000;7a;35;20;20;20;M;1
28138;3082;2690004;1273001;100,00;100,00;N0007.0010000;;7a;;40;20;20;M;1
28139;3094;2696002;1273004;0,00;4,00;N3010.0000000;;u-10;;40;20;20;M;1
28140;3094;2696002;1273004;0,00;12,00;N0027.0000000;;27;;40;20;20;M;1
28141;3094;2696002;1273004;100,00;84,00;N0026.0000000;;26;;40;20;20;M;1
28142;3110;2704002;1273000;34,80;42,70;N0007.0010000;N0010.0010000;7a;10a;40;40;20;M;1
28143;3110;2704002;1273000;65,20;57,30;N0009.0010000;;9a;;40;40;20;M;1
28144;3166;2731989;1272998;100,00;100,00;N0007.0001200;;7S;;50;40;40;M;1
28145;3170;2733999;1273004;100,00;90,60;N0007.0001200;N0029.0000000;7S;29;40;40;40;M;1
28146;3170;2733999;1273004;0,00;9,40;N0029.0000000;;29;;40;40;40;M;1
28147;3373;2618999;1272003;100,00;100,00;N0007.0001200;;7S;;-10;-10;-10;M;1
28148;3386;2660997;1271999;0,00;19,00;N0007.0001200;;7S;;40;20;20;M;1
28149;3386;2660997;1271999;100,00;81,00;N0007.0010000;;7a;;40;20;20;M;1
28150;3390;2663001;1271997;39,30;47,20;N0007.0001200;;7S;;40;20;20;M;1
28151;3390;2663001;1271997;60,70;44,90;N0007.0010000;N0009.0010000;7a;9a;40;20;20;M;1
28152;3390;2663001;1271997;0,00;6,10;N3003.0000000;;u-3;;40;20;20;M;1
28153;3390;2663001;1271997;0,00;1,80;N3001.0000000;;u-1;;40;20;20;M;1
28154;3401;2681001;1271999;88,80;73,80;N3000.0000000;;u;;40;20;20;M;1
28155;3401;2681001;1271999;11,20;26,20;N0007.0010000;N0010.0010000;7a;10a;40;20;20;M;1
28156;3413;2687002;1271999;11,20;35,20;N0029.0000100;;29A;;40;20;20;M;1
28157;3413;2687002;1271999;88,80;50,80;N0028.0000000;;28;;40;20;20;M;1
28158;3413;2687002;1271999;0,00;14,00;N3010.0000000;;u-10;;40;20;20;M;1
28159;3421;2691000;1271996;100,00;100,00;N0029.0000100;;29A;;40;20;20;M;1
28160;3429;2695002;1272003;100,00;96,20;N0010.0010000;;10a;;40;20;20;M;1
28161;3429;2695002;1272003;0,00;3,80;N0007.0010000;N0009.0010000;7a;9a;40;20;20;M;1
28162;3461;2711000;1272000;71,80;67,00;N0010.0140000;;10w;;40;40;20;M;1
28163;3461;2711000;1272000;10,00;17,10;N3005.0000000;;u-5;;40;40;20;M;1
28164;3461;2711000;1272000;18,20;12,10;N0014.0000000;;14;;40;40;20;M;1
28165;3461;2711000;1272000;0,00;3,90;N0007.0001200;N0029.0000000;7S;29;40;40;20;M;1
28166;3469;2714996;1271995;16,90;36,00;N3003.0000000;;u-3;;40;40;20;M;1
28167;3469;2714996;1271995;83,00;64,00;N0029.0000100;;29A;;40;40;20;M;1
28168;3493;2727006;1272003;4,30;32,90;N0008.0001200;;8S;;50;40;40;M;1
28169;3493;2727006;1272003;56,60;52,70;N0007.0010000;N0006.0000000;7a;6;50;40;40;M;1
28170;3493;2727006;1272003;39,00;14,40;N0027.0000000;;27;;50;40;40;M;1
28171;3497;2729006;1271992;89,70;72,60;N0026.0000000;;26;;50;40;40;M;1
28172;3497;2729006;1271992;10,30;27,40;N0008.0001200;;8S;;50;40;40;M;1
28173;3513;2737006;1272003;100,00;100,00;N0007.0001200;;7S;;40;40;40;M;1
