custom_forest_type_code;forest_type_code;latin;german
N1050.0000000;50G;"Adenostylo alliariae-Abieti-Piceetum typicum; Gebüschvariante";Typischer Hochstauden-Ta-Fi-Wald, Gebüschvariante
N1050.0000030;50FeG;;
N1050.0000800;50PG;;
N1050.1000000;50*G;"Adenostylo glabrae-Abieti-Piceetum typicum; Gebüschvariante";Karbonat-Ta-Fi-Wald mit kahlem Alpendost, Gebüschvariante
N1051.0000000;51G;"Galio-Abieti-Piceetum typicum; Gebüschvariante";Typischer Labkraut-Ta-Fi-Wald, Gebüschvariante
N1051.0000030;51FeG;;
N1051.0000200;51CG;;
N1052.0000000;52G;;
N1052.0001300;52TG;;
N1053.0000000;53G;"Polygalo chamaebuxi-Piceetum; Gebüschvariante";Zwergbuchs-Fi-Wald, Gebüschvariante
N1053.0000002;53TaG;;
N1053.1000000;53*G;"Erico-Piceetum typicum; Gebüschvariante";Erika-Fi-Wald, Gebüschvariante
N1054.0000000;54G;;
N1055.0000000;55G;;
N1055.1000000;55*G;"Luzulo niveae-Piceetum; Gebüschvariante";Schneesimsen-Fi-Wald, Gebüschvariante
N1056.0000000;56G;;
N1057.0000020;57BlG;"Homogyno-Piceetum; Blockausbildung; Gebüschvariante";Alpenlattich-Fi-Wald, Blockausbildung, Gebüschvariante
N1057.0000200;57CG;"Homogyno-Piceetum calamagrostietosum villosae; Gebüschvariante";Alpenlattich-Fi-Wald mit Wollreitgras, Gebüschvariante
N1057.0000700;57MG;;
N1057.0001200;57SG;;
N1057.0001400;57VG;"Homogyno-Piceetum vaccinietosum myrtilli; Gebüschvariante";Alpenlattich-Fi-Wald mit Heidelbeere, Gebüschvariante
N1058.0000000;58G;"Larici-Piceetum typicum; Gebüschvariante";Typischer Preiselbeer-Fi-Wald, Gebüschvariante
N1058.0000200;58CG;;
N1058.0000600;58LG;"Larici-Piceetum laserpitietosum halleri; Gebüschvariante";Preiselbeer-Fi-Wald mit Laserkraut, Gebüschvariante
N1059.0000000;59G;"Larici-Pinetum cembrae typicum; Gebüschvariante";Lärchen-Arvenwald mit Alpenrose, Gebüschvariante
N1059.0000100;59AG;"Adenostylo-Laricetum; Gebüschvariante";Hochstauden-Lärchenwald, Gebüschvariante
N1059.0000200;59CG;;
N1059.0000400;59EG;"Larici- Pinetum cembrae ericetosum; Gebüschvariante";Lärchen-Arvenwald mit Erika, Gebüschvariante
N1059.0000500;59JG;;
N1059.0000600;59LG;;
N1059.0001200;59SG;;
N1059.0001400;59VG;"Larici-Pinetum cembrae vaccinietosum myrtilli; Gebüschvariante";Lärchen-Arvenwald mit Heidelbeere, Gebüschvariante
N1059.1000000;59*G;"Rhododendro ferruginei-Laricetum; Gebüschvariante";Alpenrosen-Lärchenwald, Gebüschvariante
N1060.0000000;60G;;
N1060.0000100;60AG;"Adenostylo-Piceetum athyrietosum distentifolii; Gebüschvariante";Hochstauden-Fi-Wald mit Alpenwaldfarn, Gebüschvariante
N1060.0000400;60EG;;
