CLNR;x;y;IP5AREPROZ;IP50PROZ;custom_forest_type_code;custom_transition_forest_type_code
4650;2691999;1269001;0,00;13,90;N0007.0001200;
4650;2691999;1269001;100,00;86,10;N0007.0010000;
4658;2696000;1268996;0,00;1,80;N0044.0000000;
4658;2696000;1268996;73,30;59,00;N0007.0010000;
4658;2696000;1268996;26,70;39,20;N0007.0010000;N0006.0000000
4670;2702008;1269002;1,60;26,30;N0007.0001200;
4670;2702008;1269002;98,40;73,70;N0009.0010000;
4694;2714003;1269002;100,00;93,70;N0012.0010000;N0009.0010000
4694;2714003;1269002;0,00;6,30;N0017.0000000;
4698;2716004;1269000;100,00;100,00;N0007.0001200;N0029.0000000
4702;2717998;1268998;100,00;100,00;N0012.0001200;
5039;2628996;1267998;100,00;100,00;N0006.0000000;
5056;2651000;1268000;0,00;8,50;N3003.0000000;
5056;2651000;1268000;21,00;25,90;N0026.0000000;
5056;2651000;1268000;41,70;19,00;N3001.0000000;
5056;2651000;1268000;37,30;46,50;N0007.0010000;N0009.0010000
5076;2661000;1268001;100,00;67,20;N0007.0010000;N0010.0010000
5076;2661000;1268001;0,00;20,20;N3001.0000000;
5076;2661000;1268001;0,00;12,60;N3010.0000000;
5080;2662999;1268000;27,90;33,80;N0007.0010000;N0009.0010000
5080;2662999;1268000;9,60;23,90;N3003.0000000;
5080;2662999;1268000;62,40;29,00;N0009.0010000;
5080;2662999;1268000;0,00;13,30;N0007.0001200;
5084;2664999;1268001;52,60;40,00;N0007.0001200;
5084;2664999;1268001;47,40;60,00;N0007.0010000;
5096;2671000;1268002;16,40;36,30;N3003.0000000;
5096;2671000;1268002;83,60;63,70;N0007.0010000;
5100;2673002;1267998;82,70;62,80;N0007.0010000;N0010.0010000
5100;2673002;1267998;17,30;37,20;N3001.0000000;
5108;2677002;1268000;100,00;100,00;N0006.0000000;N0007.0010000
5120;2683002;1267997;100,00;100,00;N0008.0010000;N0012.0010000
5124;2685000;1268006;100,00;100,00;N0007.0010000;N0010.0010000
5128;2687001;1267964;100,00;100,00;N0009.0010000;
5136;2691002;1267998;100,00;68,60;N0011.0000000;
5136;2691002;1267998;0,00;9,10;N3000.0000000;
5136;2691002;1267998;0,00;3,70;N3000.0000000;
5136;2691002;1267998;0,00;18,60;N0006.0000000;
5180;2713004;1268002;19,80;38,50;N3003.0000000;
5180;2713004;1268002;57,90;53,80;N0026.0000000;N0010.0140000
5180;2713004;1268002;22,20;7,70;N0007.0001200;
5208;2726998;1267999;99,40;83,80;N0028.0000000;
5208;2726998;1267999;0,60;16,20;N0029.0000100;
5542;2628001;1267000;61,10;54,40;N0007.0010000;
5542;2628001;1267000;38,90;45,60;N3001.0000000;
5573;2648002;1266999;56,30;56,40;N0007.0010000;N0009.0010000
5573;2648002;1266999;43,70;43,60;N0026.0000000;
5577;2649999;1266999;4,30;22,00;N0026.0000000;
5577;2649999;1266999;0,00;19,20;N0007.0010000;N0009.0010000
5577;2649999;1266999;0,00;1,90;N3004.0000000;
5577;2649999;1266999;55,10;32,60;N3003.0000000;
5577;2649999;1266999;40,60;24,40;N0007.0010000;N0009.0010000
5593;2657999;1266998;98,80;68,80;N0009.0140000;
5593;2657999;1266998;1,10;31,20;N0007.0010000;N0009.0010000
5597;2659998;1267006;100,00;100,00;N0007.0010000;
5613;2667999;1267001;58,80;74,40;N0007.0010000;N0009.0010000
5613;2667999;1267001;41,20;25,60;N0026.0000000;
5621;2671999;1267001;100,00;100,00;N0006.0000000;
5625;2673999;1267002;100,00;100,00;N0007.1000000;
5637;2680003;1267002;100,00;100,00;N0007.0010000;N0006.0000000
5641;2682004;1267002;100,00;100,00;N0029.0000000;
5645;2684000;1266997;35,90;39,90;N0026.0000000;
5645;2684000;1266997;40,90;34,30;N3003.0000000;
5645;2684000;1266997;23,10;25,80;N0011.0000000;
5649;2686000;1267000;100,00;98,50;N0007.0001200;
5649;2686000;1267000;0,00;1,50;N0007.0010000;N0009.0010000
5653;2687975;1266987;0,00;17,20;N0006.0000000;
5653;2687975;1266987;22,70;20,20;N0011.0000000;
5653;2687975;1266987;63,10;50,50;N0006.0000000;N0010.0010000
5653;2687975;1266987;14,20;12,00;N0007.0010000;
5657;2690012;1267002;94,00;57,10;N0007.0010000;N0006.0000000
5657;2690012;1267002;6,00;42,90;N0007.0001200;
5677;2700003;1267005;100,00;100,00;N0007.0010000;N0006.0000000
5693;2708005;1267003;95,10;90,50;N0010.0140000;
5693;2708005;1267003;4,90;9,50;N3003.0000000;
5697;2709999;1267002;0,00;9,70;N0007.0001200;
5697;2709999;1267002;0,00;3,80;N3003.0000000;
5697;2709999;1267002;100,00;86,60;N0007.0010000;
5733;2727997;1267001;16,90;34,00;N0007.0001200;N0029.0000000
5733;2727997;1267001;83,10;66,00;N0007.0010000;
5749;2736003;1267003;0,00;2,50;N3003.0000000;
5749;2736003;1267003;0,00;2,90;N3003.0000000;
5749;2736003;1267003;100,00;94,60;N0029.0000000;N0030.0000000
5761;2742006;1267003;0,00;10,30;N3003.0000000;
5761;2742006;1267003;1,50;12,10;N0007.0010000;N0006.0000000
5761;2742006;1267003;98,50;77,70;N0007.0001200;
6097;2614999;1266005;100,00;83,40;N0007.0010000;N0035.0000000
6097;2614999;1266005;0,00;16,60;N3000.0000000;
6104;2625003;1266002;100,00;88,30;N0030.0000000;
6104;2625003;1266002;0,00;11,70;N0009.0010000;
6112;2629002;1265998;98,60;80,10;N0007.0010000;
6112;2629002;1265998;1,40;19,90;N0007.0001200;
6124;2635027;1265988;100,00;100,00;N0009.0010000;
6128;2636998;1266010;100,00;100,00;N0011.0000000;
6140;2643005;1265998;0,00;13,60;N0007.0001200;
6140;2643005;1265998;0,30;11,40;N0006.0000000;
6140;2643005;1265998;99,60;75,00;N0007.0010000;
6172;2659003;1266005;81,80;50,50;N0009.0010000;
6172;2659003;1266005;5,80;12,60;N0010.0010000;
6172;2659003;1266005;12,40;36,90;N3003.0000000;
6184;2664999;1266001;100,00;100,00;N0015.0000000;
6192;2669025;1265988;100,00;100,00;N0007.0010000;N0007.1000000
6204;2675002;1266000;100,00;100,00;N0007.0010000;
6208;2677001;1266000;47,40;31,60;N0001.0000000;
6208;2677001;1266000;9,00;18,90;N0007.0010000;
6208;2677001;1266000;43,60;49,60;N0009.0010000;
6216;2681002;1265997;73,30;61,30;N0006.0000000;
6216;2681002;1265997;26,70;38,70;N0001.0000000;
6224;2685002;1266000;100,10;78,20;N0029.0000100;
6224;2685002;1266000;0,00;21,80;N0009.0010000;
6228;2686993;1265996;0,00;9,40;N0014.0000000;
6228;2686993;1265996;0,00;5,80;N0027.0000000;
6228;2686993;1265996;80,00;60,40;N0011.0000000;
6228;2686993;1265996;20,00;24,40;N0009.0010000;
6232;2689006;1266003;0,00;21,90;N0006.0000000;
