profile;id;x;y;w;h;r;ox;oy;z;f
bl;27;15;534;199;161;2;;;2;59,59Lä,59G
bl;27;30;427;214;149;2;;;1;59V,59VLä,59VG
bl;27;403;434;275;153;;;;2;59H
bl;27;241;587;365;212;;;;2;59A,59AG
bl;27;34;207;103;66;;;;2;59J
bl;27;59;199;318;140;;;;1;59L,59LLä
bl;27;18;92;212;99;;;;2;70,70G
bl;27;21;13;421;116;;;;1;59C
bl;27;774;134;200;159;2;;;3;59E,59ELä,59EG
bl;27;744;49;157;125;;;;2;67,67G
bl;27;534;133;214;133;;;;1;69,69G
bl;3;33;40;247;150;;;;1;42r
bl;3;452;939;341;57;;;;1;44
bl;3;451;866;451;70;;;;1;27
bl;3;550;806;200;60;;;;1;26
bl;3;572;604;302;200;;;;1;33b
bl;3;355;646;216;161;;;;2;33m
bl;3;82;593;270;203;;;;1;33a
bl;3;206;567;255;80;;;;3;25au
bl;3;637;465;245;132;;;;1;25b
bl;3;206;448;253;120;;;;1;25a
bl;3;523;216;240;248;;;;1;34b
bl;3;154;381;198;82;;;;4;25as
bl;3;166;268;146;115;;;;3;42t
bl;3;282;221;203;229;;;;2;34a
bl;3;12;349;190;121;;;;1;42V
bl;3;11;195;189;152;;;;1;42Q,42C
bl;4;442;943;342;54;;;;1;44
bl;4;466;872;128;59;;;;2;30
bl;4;441;866;450;71;;;;1;27
bl;4;827;733;146;120;;;;2;35S
bl;4;571;603;301;201;;;;1;33b
bl;4;55;811;363;124;;;;1;27O
bl;4;354;645;217;162;;;;2;33m
bl;4;82;592;270;203;;;;2;33a
bl;4;810;348;176;179;;;;1;36
bl;4;523;469;266;128;;;;1;13*
bl;4;790;217;194;103;;;;1;14*
bl;4;523;217;240;248;;;;1;34b
bl;4;791;104;192;78;;;;1;37
bl;4;790;12;194;90;;;;1;38*
bl;4;166;267;146;183;;;;3;42t
bl;4;282;221;203;229;;;;2;34a
bl;4;206;361;301;295;;;;1;3L/4L
bl;4;14;453;184;130;;;;3;3LV
bl;4;12;349;190;122;;;;2;42V
bl;4;11;195;190;151;;;;1;42Q,42C
bl;4;33;41;246;150;;;;1;42r
bl;4;388;49;244;133;;;;1;42B
bl;5;38;819;363;124;;;;1;27O
bl;5;215;449;155;105;;;;3;3L/4L
bl;5;147;665;138;97;;;;2;33a
bl;5;598;456;136;99;;;;2;13*
bl;5;429;671;116;97;;;;2;33m
bl;5;668;669;113;93;;;;2;33b
bl;5;806;353;178;179;;;;2;36
bl;5;602;257;101;101;;;;2;34b
bl;5;317;250;112;108;;;;2;34a
bl;5;166;270;147;184;;;;2;42t
bl;5;11;195;190;151;;;;1;42C
bl;5;277;328;583;470;;;;1;93
bl;5;791;104;194;78;;;;1;37
bl;5;790;12;194;90;;;;1;38*
bl;5;388;49;244;133;;;;1;42B
bl;5;33;41;246;150;;;;1;42r
bl;6;465;870;129;61;;;;1;30
bl;6;831;725;146;120;;;;3;35S
bl;6;589;596;302;203;;;;2;33b
bl;6;369;644;217;162;;;;3;33m
bl;6;97;594;271;203;;;;2;33a
bl;6;431;434;129;115;;;;3;7a
bl;6;811;350;176;179;;;;2;36
bl;6;548;221;212;233;;;;2;34b
bl;6;274;224;186;225;;;;2;34a
bl;6;279;319;565;483;2;;;1;93
bl;6;791;104;192;78;;;;1;37
bl;6;12;349;190;122;;;;1;42V
bl;6;11;195;190;151;;;;1;42C
bl;7;55;866;128;115;;;;1;45
bl;7;444;941;341;55;;;;1;44
bl;7;467;872;128;59;;;;2;30
bl;7;441;866;450;71;;;;1;27
bl;7;445;791;129;59;;;;2;29
bl;7;441;781;450;79;;;;1;26,26Fe
bl;7;40;723;137;63;;;;1;46t
